epoch,train_loss,val_loss
0,0.27208104729652405,0.26014211773872375
1,0.22797992825508118,0.28059327602386475
2,0.21160726249217987,0.2843296527862549
3,0.2155277281999588,0.2792286276817322
4,0.21833452582359314,0.2798363268375397
5,0.22712008655071259,0.283469021320343
6,0.2293241173028946,0.28395795822143555
7,0.241746723651886,0.28145498037338257
8,0.22423313558101654,0.28048962354660034
9,0.20990757644176483,0.2810192108154297
10,0.21410684287548065,0.2798019349575043
11,0.21035504341125488,0.2828255295753479
12,0.24759387969970703,0.2855760455131531
13,0.2134285569190979,0.2849002480506897
14,0.20479196310043335,0.2841053903102875
15,0.17010043561458588,0.284976601600647
16,0.21128815412521362,0.2853868305683136
17,0.18107371032238007,0.2841205298900604
18,0.25339511036872864,0.28606507182121277
19,0.17905999720096588,0.2844623327255249
20,0.16996218264102936,0.2856215238571167
21,0.20862287282943726,0.2875758707523346
22,0.22713884711265564,0.28811487555503845
23,0.18022647500038147,0.2867586016654968
24,0.2128392457962036,0.28471940755844116
25,0.21454653143882751,0.29017168283462524
26,0.19883029162883759,0.2887786030769348
27,0.2021782398223877,0.2888484597206116
28,0.18750408291816711,0.28936856985092163
29,0.24387797713279724,0.28729507327079773
