epoch,train_loss,val_loss
0,0.6251478791236877,0.6232858896255493
1,0.6540377736091614,0.5587493777275085
2,0.5240377187728882,0.4729614555835724
3,0.40932992100715637,0.47103655338287354
4,0.37801823019981384,0.46498724818229675
5,0.29855185747146606,0.4680704176425934
6,0.3253072202205658,0.289640337228775
7,0.27213406562805176,0.2891501188278198
8,0.2620868980884552,0.28721776604652405
9,0.279518723487854,0.2883051633834839
10,0.1892271488904953,0.2894077003002167
11,0.255662739276886,0.2872563302516937
12,0.1834966540336609,0.2883285582065582
13,0.23763835430145264,0.28882747888565063
14,0.24598422646522522,0.2857881784439087
15,0.2794637978076935,0.2851967215538025
16,0.20488306879997253,0.29026997089385986
17,0.20600302517414093,0.28999629616737366
18,0.21092581748962402,0.2889980375766754
19,0.19001947343349457,0.2868247330188751
20,0.261325478553772,0.2894642651081085
21,0.20057512819766998,0.2875964939594269
22,0.23520895838737488,0.28705739974975586
23,0.2184625267982483,0.2878516912460327
24,0.22580277919769287,0.28743627667427063
25,0.19814735651016235,0.2886198163032532
26,0.17265017330646515,0.28779006004333496
27,0.20224139094352722,0.2926267385482788
28,0.2293321043252945,0.2900938391685486
29,0.21933206915855408,0.2882501780986786
